date,cases,deaths,domain
1/21/2020,1,0,1
1/22/2020,1,0,2
1/23/2020,1,0,3
1/24/2020,2,0,4
1/25/2020,3,0,5
1/26/2020,5,0,6
1/27/2020,5,0,7
1/28/2020,5,0,8
1/29/2020,5,0,9
1/30/2020,6,0,10
1/31/2020,7,0,11
2/1/2020,8,0,12
2/2/2020,11,0,13
2/3/2020,11,0,14
2/4/2020,11,0,15
2/5/2020,12,0,16
2/6/2020,12,0,17
2/7/2020,12,0,18
2/8/2020,12,0,19
2/9/2020,12,0,20
2/10/2020,13,0,21
2/11/2020,13,0,22
2/12/2020,14,0,23
2/13/2020,15,0,24
2/14/2020,15,0,25
2/15/2020,15,0,26
2/16/2020,15,0,27
2/17/2020,25,0,28
2/18/2020,25,0,29
2/19/2020,25,0,30
2/20/2020,27,0,31
2/21/2020,30,0,32
2/22/2020,30,0,33
2/23/2020,30,0,34
2/24/2020,43,0,35
2/25/2020,45,0,36
2/26/2020,60,0,37
2/27/2020,60,0,38
2/28/2020,65,0,39
2/29/2020,70,1,40
3/1/2020,88,3,41
3/2/2020,104,6,42
3/3/2020,125,10,43
3/4/2020,161,12,44
3/5/2020,228,12,45
3/6/2020,311,15,46
3/7/2020,428,19,47
3/8/2020,547,22,48
3/9/2020,748,26,49
3/10/2020,1018,31,50
3/11/2020,1263,37,51
3/12/2020,1668,43,52
3/13/2020,2224,50,53
3/14/2020,2898,60,54
3/15/2020,3600,68,55
3/16/2020,4507,91,56
3/17/2020,5906,117,57
3/18/2020,8350,162,58
3/19/2020,12393,212,59
3/20/2020,18012,277,60
3/21/2020,24528,360,61
3/22/2020,33073,458,62
3/23/2020,43505,579,63
3/24/2020,53938,785,64
3/25/2020,68572,1054,65
3/26/2020,85570,1353,66
3/27/2020,102900,1770,67
3/28/2020,123966,2300,68
3/29/2020,142486,2718,69
3/30/2020,163955,3368,70
3/31/2020,188461,4304,71
4/1/2020,215391,5325,72
4/2/2020,245108,6541,73
4/3/2020,277426,7932,74
4/4/2020,312525,9488,75
4/5/2020,338141,10856,76
4/6/2020,369057,12382,77
4/7/2020,399394,14616,78
4/8/2020,431214,16701,79
4/9/2020,465913,18821,80
4/10/2020,499386,21084,81
4/11/2020,531106,23168,82
4/12/2020,558249,24849,83
4/13/2020,584018,26613,84
4/14/2020,610709,29318,85
4/15/2020,640742,32070,86
4/16/2020,672355,34419,87
4/17/2020,703864,36708,88
4/18/2020,732262,38659,89
4/19/2020,757596,40179,90
4/20/2020,784926,42016,91
4/21/2020,810434,44688,92
4/22/2020,839266,47059,93
4/23/2020,873039,49228,94
4/24/2020,909778,51360,95
4/25/2020,944186,53327,96
4/26/2020,970921,54580,97
4/27/2020,994110,56022,98
4/28/2020,1018744,58416,99
4/29/2020,1045298,60930,100
4/30/2020,1075637,63140,101
5/1/2020,1109601,64902,102
5/2/2020,1139075,66485,103
5/3/2020,1165215,67816,104
5/4/2020,1187176,68905,105
5/5/2020,1210881,71139,106
5/6/2020,1235366,73847,107
5/7/2020,1263841,75805,108
5/8/2020,1291483,77380,109
5/9/2020,1316351,78834,110
5/10/2020,1336668,79766,111
5/11/2020,1354286,80748,112
5/12/2020,1376585,82400,113
5/13/2020,1397726,84168,114
5/14/2020,1424687,85906,115
5/15/2020,1450910,87499,116
5/16/2020,1474569,88724,117
5/17/2020,1493583,89568,118
5/18/2020,1515403,90414,119
5/19/2020,1536371,91934,120
5/20/2020,1559435,93411,121
5/21/2020,1585168,94722,122
5/22/2020,1608961,96010,123
5/23/2020,1631229,97060,124
5/24/2020,1651260,97680,125
5/25/2020,1670360,98190,126
5/26/2020,1689249,98937,127
5/27/2020,1707990,100422,128
5/28/2020,1730458,101622,129
5/29/2020,1755005,102812,130
5/30/2020,1778402,103775,131
5/31/2020,1799036,104379,132
6/1/2020,1820930,105113,133
6/2/2020,1841716,106195,134
6/3/2020,1861695,107184,135
6/4/2020,1883309,108192,136
6/5/2020,1912006,109304,137
6/6/2020,1934522,110032,138
6/7/2020,1953138,110422,139
6/8/2020,1971339,111144,140
6/9/2020,1990143,112174,141
6/10/2020,2013298,113103,142
6/11/2020,2036500,113980,143
6/12/2020,2061993,114759,144
6/13/2020,2087327,115451,145
6/14/2020,2106457,115768,146
6/15/2020,2126574,116216,147
6/16/2020,2151459,116985,148
6/17/2020,2177114,117746,149
6/18/2020,2205173,118473,150
6/19/2020,2236009,119171,151
6/20/2020,2268034,119717,152
6/21/2020,2294413,119974,153
6/22/2020,2324879,120334,154
6/23/2020,2359937,121167,155
6/24/2020,2396926,121934,156
6/25/2020,2438099,124400,157
6/26/2020,2483625,125033,158
6/27/2020,2525929,125544,159
6/28/2020,2565007,125814,160
6/29/2020,2604924,126162,161
6/30/2020,2653319,127462,162
7/1/2020,2703296,128104,163
7/2/2020,2758851,128827,164
7/3/2020,2815374,129417,165
7/4/2020,2866014,129679,166
7/5/2020,2910780,129941,167
7/6/2020,2958095,130332,168
7/7/2020,3012252,131290,169
7/8/2020,3071711,132238,170
7/9/2020,3131610,133079,171
7/10/2020,3199837,133907,172
7/11/2020,3260565,134582,173
7/12/2020,3318372,134977,174
7/13/2020,3379943,135402,175
7/14/2020,3445544,136356,176
7/15/2020,3513892,137327,177
7/16/2020,3589589,138285,178
7/17/2020,3660512,139186,179
7/18/2020,3722966,139961,180
7/19/2020,3785241,140373,181
7/20/2020,3845124,140904,182
7/21/2020,3910398,142031,183
7/22/2020,3980128,143167,184
7/23/2020,4050126,144283,185
7/24/2020,4123651,145430,186
7/25/2020,4190422,146314,187
